control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-CM-01,EX-CM-01-001,change_log.csv,CHG0030026,E10900,LSP,Normal,2025-01-23,2025-01-23,,,No approver / approval date recorded,Closed,2025-01-23,Normal change 'Update delinquency aging buckets' implemented 2025-01-23 18:00; no approval recorded,R-04,12,372,36.0,High
ITGC-CM-01,EX-CM-01-002,change_log.csv,CHG0030061,E10153,FCR,Normal,2025-02-12,2025-02-12,,,No approver / approval date recorded,Closed,2025-02-12,Normal change 'Modify close checklist automation' implemented 2025-02-12 18:00; no approval recorded,R-04,12,352,35.1,High
ITGC-CM-01,EX-CM-01-003,change_log.csv,CHG0030089,E10029,LSP,Normal,2025-02-25,2025-02-25,2025-02-26,0.0,Approved after implementation,Closed,2025-02-25,Normal change 'Deploy payment posting hotfix' implemented 2025-02-25 22:00; approved 2025-02-26 16:00 by E10347,R-04,12,339,34.3,Medium
ITGC-CM-01,EX-CM-01-004,change_log.csv,CHG0030110,E10998,GL01,Standard,2025-03-07,2025-03-07,2025-03-13,5.0,Approved after implementation,Closed,2025-03-07,Standard change 'Modify intercompany elimination rule' implemented 2025-03-07 19:00; approved 2025-03-13 13:00 by E10489,R-04,12,329,33.6,Medium
ITGC-CM-01,EX-CM-01-005,change_log.csv,CHG0030130,E10345,FCR,Normal,2025-03-17,2025-03-17,2025-03-20,2.0,Approved after implementation,Closed,2025-03-17,Normal change 'Update consolidation mapping for new entity' implemented 2025-03-17 21:15; approved 2025-03-20 15:15 by E10751,R-04,12,319,33.0,Medium
ITGC-CM-01,EX-CM-01-006,change_log.csv,CHG0030149,E10948,GL01,Normal,2025-03-27,2025-03-27,2025-04-01,4.0,Approved after implementation,Closed,2025-03-27,Normal change 'Add new cost center hierarchy' implemented 2025-03-27 22:30; approved 2025-04-01 16:30 by E10259,R-04,12,309,32.3,Medium
ITGC-CM-01,EX-CM-01-007,change_log.csv,CHG0030150,E10163,FCR,Standard,2025-03-28,2025-03-28,2025-03-29,0.0,Approved after implementation,Closed,2025-03-28,Standard change 'Update consolidation mapping for new entity' implemented 2025-03-28 19:00; approved 2025-03-29 13:00 by E10751,R-04,12,308,32.3,Medium
ITGC-CM-01,EX-CM-01-008,change_log.csv,CHG0030187,E10077,LSP,Emergency,2025-04-16,2025-04-21,2025-04-23,2.0,Emergency change approved outside 2-BD window,Closed,2025-04-16,Emergency change 'Adjust interest accrual calculation for ARM loans' implemented 2025-04-16 19:00; approved 2025-04-23 11:00 by E10259,R-04,12,289,31.0,Medium
ITGC-CM-01,EX-CM-01-009,change_log.csv,CHG0030205,E10727,LSP,Normal,2025-04-25,2025-04-25,,,No approver / approval date recorded,Closed,2025-04-25,Normal change 'Upgrade servicing platform minor release' implemented 2025-04-25 21:45; no approval recorded,R-04,12,280,30.4,Medium
ITGC-CM-01,EX-CM-01-010,change_log.csv,CHG0030219,E10163,GL01,Normal,2025-05-05,2025-05-05,2025-05-10,4.0,Approved after implementation,Closed,2025-05-05,Normal change 'Modify intercompany elimination rule' implemented 2025-05-05 20:45; approved 2025-05-10 14:45 by E10751,R-04,12,270,29.8,Medium
ITGC-CM-01,EX-CM-01-011,change_log.csv,CHG0030241,E10933,FCR,Normal,2025-05-15,2025-05-15,2025-05-16,0.0,Approved after implementation,Closed,2025-05-15,Normal change 'Update XBRL tagging template' implemented 2025-05-15 20:45; approved 2025-05-16 14:45 by E10751,R-04,12,260,29.1,Medium
ITGC-CM-01,EX-CM-01-012,change_log.csv,CHG0030289,E10163,LSP,Normal,2025-06-13,2025-06-13,2025-06-18,4.0,Approved after implementation,Closed,2025-06-13,Normal change 'Adjust interest accrual calculation for ARM loans' implemented 2025-06-13 22:15; approved 2025-06-18 16:15 by E10347,R-04,12,231,27.2,Medium
ITGC-CM-01,EX-CM-01-013,change_log.csv,CHG0030299,E10821,LSP,Normal,2025-06-20,2025-06-20,2025-06-23,2.0,Approved after implementation,Closed,2025-06-20,Normal change 'Adjust interest accrual calculation for ARM loans' implemented 2025-06-20 22:15; approved 2025-06-23 16:15 by E10347,R-04,12,224,26.7,Medium
ITGC-CM-01,EX-CM-01-014,change_log.csv,CHG0030310,E10914,FCR,Normal,2025-07-01,2025-07-01,,,No approver / approval date recorded,Closed,2025-07-01,Normal change 'Update consolidation mapping for new entity' implemented 2025-07-01 20:15; no approval recorded,R-04,12,213,26.0,Medium
ITGC-CM-01,EX-CM-01-015,change_log.csv,CHG0030345,E10285,GL01,Normal,2025-07-24,2025-07-24,2025-07-31,6.0,Approved after implementation,Closed,2025-07-24,Normal change 'Update journal entry upload template validation' implemented 2025-07-24 22:30; approved 2025-07-31 16:30 by E10489,R-04,12,190,24.5,Medium
ITGC-CM-01,EX-CM-01-016,change_log.csv,CHG0030358,E10856,FCR,Standard,2025-07-31,2025-07-31,2025-08-05,4.0,Approved after implementation,Closed,2025-07-31,Standard change 'Modify close checklist automation' implemented 2025-07-31 21:30; approved 2025-08-05 15:30 by E10347,R-04,12,183,24.0,Medium
