control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-UA-02,EX-UA-02-001,termination_log.csv + user_access_log.csv,G201578,E10622,LSP,RITM101170,2025-01-14,2025-01-22,,257.0,Access still active at as-of date,Open,2025-01-23,Power User on LSP; terminated 2025-01-14; not revoked as of 2026-01-30 (262 BD),R-02,15,372,55.0,Critical
ITGC-UA-02,EX-UA-02-002,termination_log.csv + user_access_log.csv,G200644,E10674,LSP,RITM101275,2025-02-06,2025-02-13,2025-02-14,1.0,Access revoked after SLA,Closed,2025-02-14,Power User on LSP; terminated 2025-02-06; revoked 2025-02-14 (6 BD),R-02,15,350,43.8,High
ITGC-UA-02,EX-UA-02-003,termination_log.csv + user_access_log.csv,G200515,E10856,GL01,RITM101629,2025-03-05,2025-03-12,2025-04-02,15.0,Access revoked after SLA,Closed,2025-03-13,Standard User on GL01; terminated 2025-03-05; revoked 2025-04-02 (20 BD),R-02,15,323,41.5,High
ITGC-UA-02,EX-UA-02-004,termination_log.csv + user_access_log.csv,G200612,E10271,TMS,RITM100502,2025-03-05,2025-03-12,2025-03-21,7.0,Access revoked after SLA,Closed,2025-03-13,Standard User on TMS; terminated 2025-03-05; revoked 2025-03-21 (12 BD),R-02,15,323,41.5,High
ITGC-UA-02,EX-UA-02-005,termination_log.csv + user_access_log.csv,G201120,E11237,LSP,RITM102345,2025-03-19,2025-03-26,2025-04-17,16.0,Access revoked after SLA,Closed,2025-03-27,Power User on LSP; terminated 2025-03-19; revoked 2025-04-17 (21 BD),R-02,15,309,40.4,High
ITGC-UA-02,EX-UA-02-006,termination_log.csv + user_access_log.csv,G201351,E11235,LSP,RITM102342,2025-08-04,2025-08-11,2025-08-27,12.0,Access revoked after SLA,Closed,2025-08-12,Standard User on LSP; terminated 2025-08-04; revoked 2025-08-27 (17 BD),R-02,15,171,29.1,Medium
ITGC-UA-02,EX-UA-02-007,termination_log.csv + user_access_log.csv,G201283,E10899,GL01,RITM101721,2025-08-28,2025-09-05,,101.0,Access still active at as-of date,Open,2025-09-06,Power User on GL01; terminated 2025-08-28; not revoked as of 2026-01-30 (106 BD),R-02,15,146,37.0,High
ITGC-UA-02,EX-UA-02-008,termination_log.csv + user_access_log.csv,G201285,E10899,TMS,RITM101719,2025-08-28,2025-09-05,,101.0,Access still active at as-of date,Open,2025-09-06,Standard User on TMS; terminated 2025-08-28; not revoked as of 2026-01-30 (106 BD),R-02,15,146,37.0,High
ITGC-UA-02,EX-UA-02-009,termination_log.csv + user_access_log.csv,G201286,E10899,FCR,RITM101720,2025-08-28,2025-09-05,,101.0,Access still active at as-of date,Open,2025-09-06,Standard User on FCR; terminated 2025-08-28; not revoked as of 2026-01-30 (106 BD),R-02,15,146,37.0,High
ITGC-UA-02,EX-UA-02-010,termination_log.csv + user_access_log.csv,G201470,E10899,TMS,RITM102619,2025-08-28,2025-09-05,,101.0,Access still active at as-of date,Open,2025-09-06,Superuser on TMS; terminated 2025-08-28; not revoked as of 2026-01-30 (106 BD),R-02,15,146,37.0,High
ITGC-UA-02,EX-UA-02-011,termination_log.csv + user_access_log.csv,G202305,E10899,FCR,RITM102621,2025-08-28,2025-09-05,,101.0,Access still active at as-of date,Open,2025-09-06,Administrator on FCR; terminated 2025-08-28; not revoked as of 2026-01-30 (106 BD),R-02,15,146,37.0,High
ITGC-UA-02,EX-UA-02-012,termination_log.csv + user_access_log.csv,G202322,E10899,GL01,RITM102620,2025-08-28,2025-09-05,,101.0,Access still active at as-of date,Open,2025-09-06,Superuser on GL01; terminated 2025-08-28; not revoked as of 2026-01-30 (106 BD),R-02,15,146,37.0,High
ITGC-UA-02,EX-UA-02-013,termination_log.csv + user_access_log.csv,G200092,E10079,GL01,RITM100131,2025-08-29,2025-09-08,2025-09-29,15.0,Access revoked after SLA,Closed,2025-09-09,Read Only on GL01; terminated 2025-08-29; revoked 2025-09-29 (20 BD),R-02,15,143,26.8,Medium
ITGC-UA-02,EX-UA-02-014,termination_log.csv + user_access_log.csv,G201786,E10846,LSP,RITM101612,2025-10-09,2025-10-16,,72.0,Access still active at as-of date,Open,2025-10-17,Standard User on LSP; terminated 2025-10-09; not revoked as of 2026-01-30 (77 BD),R-02,15,105,33.6,Medium
ITGC-UA-02,EX-UA-02-015,termination_log.csv + user_access_log.csv,G202447,E10846,LSP,RITM101613,2025-10-09,2025-10-16,,72.0,Access still active at as-of date,Open,2025-10-17,Read Only on LSP; terminated 2025-10-09; not revoked as of 2026-01-30 (77 BD),R-02,15,105,33.6,Medium
ITGC-UA-02,EX-UA-02-016,termination_log.csv + user_access_log.csv,G200768,E11203,LSP,RITM102278,2025-10-10,2025-10-17,2025-10-27,6.0,Access revoked after SLA,Closed,2025-10-18,Standard User on LSP; terminated 2025-10-10; revoked 2025-10-27 (11 BD),R-02,15,104,23.5,Medium
ITGC-UA-02,EX-UA-02-017,termination_log.csv + user_access_log.csv,G200622,E10767,LSP,RITM101456,2025-10-29,2025-11-05,2025-11-10,3.0,Access revoked after SLA,Closed,2025-11-06,Read Only on LSP; terminated 2025-10-29; revoked 2025-11-10 (8 BD),R-02,15,85,22.0,Medium
ITGC-UA-02,EX-UA-02-018,termination_log.csv + user_access_log.csv,G200387,E10987,LSP,RITM101884,2025-11-06,2025-11-13,,52.0,Access still active at as-of date,Open,2025-11-14,Standard User on LSP; terminated 2025-11-06; not revoked as of 2026-01-30 (57 BD),R-02,15,77,31.3,Medium
ITGC-UA-02,EX-UA-02-019,termination_log.csv + user_access_log.csv,G201198,E10406,FCR,RITM100742,2025-12-02,2025-12-09,2025-12-24,11.0,Access revoked after SLA,Closed,2025-12-10,Standard User on FCR; terminated 2025-12-02; revoked 2025-12-24 (16 BD),R-02,15,51,19.2,Low
ITGC-UA-02,EX-UA-02-020,termination_log.csv + user_access_log.csv,G201391,E10258,FCR,RITM100479,2025-12-09,2025-12-16,,30.0,Access still active at as-of date,Open,2025-12-17,Standard User on FCR; terminated 2025-12-09; not revoked as of 2026-01-30 (35 BD),R-02,15,44,28.6,Medium
