control_id,source_file,record_key,exception_type,detail
ITGC-UA-03,termination_log.csv,E10174,Late HR notification,HR notified IT 7 business days after termination
ITGC-UA-03,termination_log.csv,E11203,Late HR notification,HR notified IT 3 business days after termination
ITGC-UA-03,termination_log.csv,E10592,Late HR notification,HR notified IT 6 business days after termination
ITGC-UA-03,termination_log.csv,E10224,Late HR notification,HR notified IT 4 business days after termination
ITGC-UA-03,termination_log.csv,E10987,Late HR notification,HR notified IT 4 business days after termination
ITGC-UA-03,termination_log.csv,E11237,Late HR notification,HR notified IT 8 business days after termination
ITGC-UA-03,termination_log.csv,E10260,Late HR notification,HR notified IT 7 business days after termination
ITGC-UA-03,termination_log.csv,E10622,Late HR notification,HR notified IT 6 business days after termination
ITGC-UA-03,termination_log.csv,E10684,Late HR notification,HR notified IT 9 business days after termination
ITGC-UA-03,termination_log.csv,E10079,Late HR notification,HR notified IT 3 business days after termination
ITGC-UA-03,termination_log.csv,E10674,Late HR notification,HR notified IT 7 business days after termination
ITGC-UA-02,user_access_log.csv,G201578,Access never revoked,E10622 terminated 2025-01-14; LSP access still active
ITGC-UA-02,user_access_log.csv,G200644,Late revocation,E10674 terminated 2025-02-06; LSP revoked 6 BD later
ITGC-UA-02,user_access_log.csv,G200515,Late revocation,E10856 terminated 2025-03-05; GL01 revoked 20 BD later
ITGC-UA-02,user_access_log.csv,G200612,Late revocation,E10271 terminated 2025-03-05; TMS revoked 12 BD later
ITGC-UA-02,user_access_log.csv,G201120,Late revocation,E11237 terminated 2025-03-19; LSP revoked 21 BD later
ITGC-UA-02,user_access_log.csv,G201351,Late revocation,E11235 terminated 2025-08-04; LSP revoked 17 BD later
ITGC-UA-02,user_access_log.csv,G201283,Access never revoked,E10899 terminated 2025-08-28; GL01 access still active
ITGC-UA-02,user_access_log.csv,G201285,Access never revoked,E10899 terminated 2025-08-28; TMS access still active
ITGC-UA-02,user_access_log.csv,G201286,Access never revoked,E10899 terminated 2025-08-28; FCR access still active
ITGC-UA-02,user_access_log.csv,G201470,Access never revoked,E10899 terminated 2025-08-28; TMS access still active
ITGC-UA-02,user_access_log.csv,G202305,Access never revoked,E10899 terminated 2025-08-28; FCR access still active
ITGC-UA-02,user_access_log.csv,G202322,Access never revoked,E10899 terminated 2025-08-28; GL01 access still active
ITGC-UA-02,user_access_log.csv,G200092,Late revocation,E10079 terminated 2025-08-29; GL01 revoked 20 BD later
ITGC-UA-02,user_access_log.csv,G201786,Access never revoked,E10846 terminated 2025-10-09; LSP access still active
ITGC-UA-02,user_access_log.csv,G202447,Access never revoked,E10846 terminated 2025-10-09; LSP access still active
ITGC-UA-02,user_access_log.csv,G200768,Late revocation,E11203 terminated 2025-10-10; LSP revoked 11 BD later
ITGC-UA-02,user_access_log.csv,G200622,Late revocation,E10767 terminated 2025-10-29; LSP revoked 8 BD later
ITGC-UA-02,user_access_log.csv,G200387,Access never revoked,E10987 terminated 2025-11-06; LSP access still active
ITGC-UA-02,user_access_log.csv,G201198,Late revocation,E10406 terminated 2025-12-02; FCR revoked 16 BD later
ITGC-UA-02,user_access_log.csv,G201391,Access never revoked,E10258 terminated 2025-12-09; FCR access still active
ITGC-UA-01,user_access_log.csv,G202506,Missing approver,Read Only on LSP provisioned with no approver
ITGC-UA-01,user_access_log.csv,G202012,Missing approver,Read Only on GL01 provisioned with no approver
ITGC-UA-01,user_access_log.csv,G202169,Missing approver,Standard User on GL01 provisioned with no approver
