control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-PA-01,EX-PA-01-001,user_access_log.csv + privileged_access_approvals.csv,G201970,E10279,TMS,RITM102446,2025-01-14,2025-01-14,2025-01-16,2.0,Approved after access was granted,Closed,2025-01-14,Superuser on TMS granted 2025-01-14; register: PA50071 / Superuser / TMS,R-03,15,381,45.0,High
ITGC-PA-01,EX-PA-01-002,user_access_log.csv + privileged_access_approvals.csv,G202043,E10976,LSP,RITM102638,2025-02-07,2025-02-07,,,No approval record in register,Open,2025-02-07,Database Administrator on LSP granted 2025-02-07; register: none / - / -,R-03,15,357,54.3,Critical
ITGC-PA-01,EX-PA-01-003,user_access_log.csv + privileged_access_approvals.csv,G202123,E10291,LSP,RITM102455,2025-03-13,2025-03-13,,,No approval record in register,Open,2025-03-13,Superuser on LSP granted 2025-03-13; register: none / - / -,R-03,15,323,51.5,Critical
ITGC-PA-01,EX-PA-01-004,user_access_log.csv + privileged_access_approvals.csv,G202186,E11197,LSP,RITM102689,2025-04-14,2025-04-14,,,No approval record in register,Closed,2025-04-14,Administrator on LSP granted 2025-04-14; register: none / - / -,R-03,15,291,38.9,High
ITGC-PA-01,EX-PA-01-005,user_access_log.csv + privileged_access_approvals.csv,G202350,E10537,FCR,RITM102523,2025-06-30,2025-06-30,2025-06-28,-2.0,Approval is for a different system,Open,2025-06-30,Database Administrator on FCR granted 2025-06-30; register: PA50211 / Database Administrator / GL01,R-03,15,214,42.6,High
ITGC-PA-01,EX-PA-01-006,user_access_log.csv + privileged_access_approvals.csv,G202358,E10446,FCR,RITM102499,2025-07-03,2025-07-03,2025-07-02,-1.0,Granted level differs from approved level,Open,2025-07-03,Superuser on FCR granted 2025-07-03; register: PA50214 / Database Administrator / FCR,R-03,15,211,42.3,High
ITGC-PA-01,EX-PA-01-007,user_access_log.csv + privileged_access_approvals.csv,G202461,E10432,LSP,RITM102496,2025-08-18,2025-08-18,,,No approval record in register,Closed,2025-08-18,Superuser on LSP granted 2025-08-18; register: none / - / -,R-03,15,165,28.6,Medium
ITGC-PA-01,EX-PA-01-008,user_access_log.csv + privileged_access_approvals.csv,G202463,E10890,TMS,RITM102616,2025-08-18,2025-08-18,2025-08-15,-3.0,Granted level differs from approved level,Open,2025-08-18,Superuser on TMS granted 2025-08-18; register: PA50245 / Administrator / TMS,R-03,15,165,38.6,High
ITGC-PA-01,EX-PA-01-009,user_access_log.csv + privileged_access_approvals.csv,G202524,E10807,FCR,RITM102599,2025-09-17,2025-09-17,2025-09-27,10.0,Approved after access was granted,Closed,2025-09-17,Administrator on FCR granted 2025-09-17; register: PA50271 / Administrator / FCR,R-03,15,135,26.1,Medium
ITGC-PA-01,EX-PA-01-010,user_access_log.csv + privileged_access_approvals.csv,G202674,E10217,TMS,RITM102430,2025-11-25,2025-11-25,,,No approval record in register,Closed,2025-11-25,Database Administrator on TMS granted 2025-11-25; register: none / - / -,R-03,15,66,20.4,Medium
